rep,id,initT,aS,dS,tau,lBt0,lp,dI,n,V0
5,10723,1.08301059305978e-13,9,2.96529222340363e-05,0.05,-3.37505637031472,3,1.73095524726284,0.689384934088224,1
6,10723,2.44588269090231e-13,9,1.80001121636522e-05,0.05,-4.02348554510944,3,1.28778061938593,0.407300197602756,1
7,10723,1.14656462314856e-07,9,4.20659675646303e-05,0.05,-2.66539108648785,3,1.61284670964194,0.856327775112216,1
8,10723,1.3494788843035e-08,9,1.8235102936853e-05,0.05,-3.21714436313937,3,2.27542401506084,0.688091272234205,1
9,10723,1.33318870643074e-12,9,4.02007056660939e-05,0.05,-3.23601207479541,3,1.56490014509109,0.660760023018986,1
10,10723,0.00656106409786367,9,2.80095475255146e-05,0.05,-3.64908337164017,3,1.63893818609936,0.606822449478288,1
1,10739,5.94857484045522e-05,9,2.51190152150188e-05,0.05,-3.46924433502705,3,1.94679049559528,0.796686224408845,1
2,10739,2.68867644766435e-19,9,1.66937401733999e-05,0.05,-3.30452988126144,3,1.34882160392983,0.586709489298306,1
3,10739,2.35208610284619e-07,9,2.3161138025745e-05,0.05,-4.13780287893432,3,1.80691529163736,0.397300117998996,1
4,10739,8.84921736444695e-13,9,2.86083509452359e-05,0.05,-3.47128718666849,3,1.9638688562599,0.457508216090556,1
5,10739,5.32249953215308e-11,9,1.62036055434539e-05,0.05,-3.91231260361203,3,2.3968355239512,0.852038383228563,1
6,10739,6.80203646194263e-12,9,4.26351275610615e-05,0.05,-4.16276170455031,3,1.71428396970513,0.649021251871801,1
7,10739,4.11122788514804e-07,9,4.13547097621442e-05,0.05,-3.65150710610763,3,1.7168290904405,0.714813980261994,1
8,10739,2.013392651645e-11,9,3.77921365530212e-05,0.05,-3.54473556504555,3,1.79115854184949,0.673625044280351,1
9,10739,6.6196288640915e-12,9,3.33714894566616e-05,0.05,-3.20680052256548,3,1.7804965456625,0.837084598935543,1
10,10739,8.42498453300358e-12,9,1.48873293087477e-05,0.05,-3.52069778119782,3,1.74350192334096,0.580248374431447,1
1,10742,6.99296748827475e-13,9,1.46398353616196e-05,0.05,-3.46327295021083,3,1.38078890433971,0.622046043757598,1
2,10742,1.94379694595319e-11,9,2.09174171183644e-05,0.05,-4.30822530365386,3,1.97828191147597,0.439231498810329,1
3,10742,2.26379546418783e-12,9,1.71041366101183e-05,0.05,-3.87509042187601,3,1.90068651246098,0.565841350075459,1
4,10742,1.68593388224353e-14,9,2.50416471188687e-05,0.05,-4.33021426044913,3,2.33552083292634,0.774166611069814,1
5,10742,2.81930360987924e-11,9,1.24512428841546e-05,0.05,-3.23544812148896,3,2.44186191767808,0.595386908645229,1
6,10742,3.19440765029419e-11,9,5.08468510586852e-05,0.05,-3.42157629975127,3,1.76644117349963,0.928391344828555,1
7,10742,2.69118084329021e-10,9,1.56957044282902e-05,0.05,-4.24288473078131,3,2.17448383432154,0.768532878992607,1
8,10742,3.34127249237868e-20,9,1.20924845396438e-05,0.05,-4.31188009688329,3,1.90796770266684,0.532754100265017,1
9,10742,1.07804064514632e-16,9,1.9438136284593e-05,0.05,-3.63629735856864,3,2.12147898323205,0.609771807546134,1
10,10742,1.04259708715813e-17,9,3.03114192088404e-05,0.05,-3.67450501441403,3,2.6198516094928,0.769188081681156,1
1,40007,2.91073470381271e-11,9,3.41272157793662e-05,0.05,-3.48936643187606,3,2.43338853701132,0.630529640164197,1
2,40007,1.0727904982429e-10,9,3.23200005502414e-05,0.05,-4.07134269448784,3,1.86737559935227,0.815921768051725,1
3,40007,7.35086144183114e-10,9,1.99479189524414e-05,0.05,-4.42418508036052,3,1.62089650975828,0.614674573509094,1
4,40007,2.53158680745816e-11,9,2.72316163143127e-05,0.05,-4.3719559457351,3,1.39079708115056,0.901076818195761,1
5,40007,7.11758859607707e-07,9,2.69339532891004e-05,0.05,-4.09695812993405,3,1.77970893074404,0.668765419196083,1
6,40007,0.000293659143029544,9,1.88839149866614e-05,0.05,-3.92898503018538,3,1.73609301496933,0.494317791148559,1
7,40007,9.31483022348526e-08,9,2.55541523533763e-05,0.05,-3.99688347364326,3,1.83387425900166,0.789534746854002,1
8,40007,0.00110505394722629,9,2.47398556849878e-05,0.05,-3.50343009649539,3,1.71621674592202,0.788663671022911,1
9,40007,3.93273000046347e-11,9,1.88429087140239e-05,0.05,-3.78166660533862,3,1.84152122629187,0.816344849107105,1
10,40007,3.11982612074238e-17,9,3.5489731258905e-05,0.05,-3.60860495765747,3,1.9835017765636,0.633270296383508,1
1,40061,2.1579631430811e-12,9,1.42617891581956e-05,0.05,-2.77535760718056,3,1.70561057333408,0.517135457416634,1
